Index,Hotel Name,Address
116,THE PACIFIC SUTERA KOTA KINABALU,"1 JALAN SUTERA HARBOUR BOULEVARD, SUTERA HARBOUR, 88100 KOTA KINABALU, Sabah"
117,THE PRESTIGE HOTEL,"8 GAT LEBUH GEREJA, 10300 GEORGETOWN, Pulau Pinang"
118,THE RITZ-CARLTON LANGKAWI,"P.O BP.O. BOX 199, JALAN PANTAI KOK, KAMPUNG TELUK NIBONG, 07100 LANGKAWI, Kedah"
119,THE RUMA HOTEL AND RESIDENCES,"NO.7 JALAN KIA PENG, 50450, Wilayah Persekutuan Kuala Lumpur"
120,THE ST. REGIS LANGKAWI,"JALAN PANTAI BERINGIN, 07000 LANGKAWI, Kedah"
121,THE TAARAS BEACH & SPA RESORT,"P.O. BOX 126, MAIN POST OFFICE, 20928 KUALA TERENGGANU, Terengganu"
122,THE WATERFRONT HOTEL,"68 JALAN TUN ABANG HAJI OPENG, 93000 KUCHING, Sarawak"
123,THE WESTIN DESARU COAST RESORT,"JALAN PANTAI 3, DESARU COAST , 81930 BANDAR PENAWAR, Johor"
124,THE WESTIN KUALA LUMPUR,"199 JALAN BUKIT BINTANG, 55100 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
125,THE WESTIN LANGKAWI RESORT & SPA,"JALAN PANTAI DATO' SYED OMAR, 07000 LANGKAWI, Kedah"
126,TIARA LABUAN HOTEL,"P.O. BOX 80537 JALAN TANJUNG BATU, 87000 WP LABUAN, Wilayah Persekutuan Labuan"
127,TRADERS HOTEL KUALA LUMPUR,"KUALA LUMPUR CITY CENTRE, 50088 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
128,W KUALA LUMPUR,"NO. 121, JALAN AMPANG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
129,WYNDHAM ACMAR KLANG HOTEL,"NO. 1-G-1, PERSIARAN BUKIT RAJA 2/KU1, BANDAR BARU KLANG, 41150 KLANG, Selangor"
130,WYNDHAM GRAND,"NO. 1, JALAN PANTAI JAYA, TOWER 3, 59200 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
131,WYNDHAM ION MAJESTIC HOTEL,"JALAN ION 1 MAJESTIC, 69000 GENTING HIGHLAND, Pahang"
132,ZENITH CAMERON,"NO. 3, JALAN MAJLIS, 39000 CAMERON HIGLANDS, Pahang"
133,ZENITH HOTEL KUANTAN,"JALAN PUTRA SQUARE 6, PUTRA SQUARE, 25200 KUANTAN, Pahang"
134,A'FAMOSA RESORT HOTEL,"JALAN KEMUS, SIMPANG EMPAT, 78000 ALOR GAJAH, Melaka"
135,AC HOTEL KUALA LUMPUR,"9 JALAN LUMUT, OFF JALAN IPOH, 50400, Wilayah Persekutuan Kuala Lumpur"
136,AC HOTEL KUANTAN CITY CENTRE,"JALAN TELUK SISEK , 25000 KUANTAN, Pahang"
137,AC HOTEL PENANG BUKIT JAMBUL,"213, JALAN BUKIT GAMBIR, 11950 BUKIT JAMBUL, Pulau Pinang"
138,ACAPELLA SUITES HOTEL,"No.8, Persiaran Sukan Seksyen 13, 40100 Shah Alam, Selangor"
139,ALOFT LANGKAWI PANTAI TENGAH,"LOT PT701, JALAN PANTAI TENGAH, MUKIM KEDAWANG, 07000 LANGKAWI, Kedah"
140,ALUNAN RESORT,"LOT 350, PANTAI PETANI, PULAU PERHENTIAN KECIL, 22300 KUALA BESUT, Terengganu"
141,AMAN TIOMAN BEACH RESORT,"LOT 73 KAMPUNG PAYA PULAU TIOMAN, 26800 ROMPIN, Pahang"
142,AMANSARI RESIDENCE RESORT,"JALAN PERSIARAN SERI ALAM, BANDAR SERI ALAM, 81750 JOHOR BAHRU, Johor"
143,ANCASA HOTEL KUALA LUMPUR,"JALAN TAN CHENG LOCK, 50050 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
144,ANCASA RESIDENCES PORT DICKSON,"BATU 81/2, JALAN PANTAI TELUK KEMANG, 71050 PORT DICKSON, Negeri Sembilan"
145,ANCASA ROYALE PEKAN,"NO 2670, KAMPUNG PERAMU, JALAN PEKAN-KUANTAN, 26600 PEKAN, Pahang"
146,ARCADIA BEACH RESORT,"PULAU PANDANAN, Sabah"
147,ASCOTT KUALA LUMPUR,"NO. 9, JALAN PINANG, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
148,AVILLION ADMIRAL COVE,"BATU 5 1/2 SI RUSA, 71050 PORT DICKSON, Negeri Sembilan"
149,BABA HOUSE MELAKA,"NO. 121-127, JALAN TUN TAN CHENG LOCK, 75200 MELAKA, Melaka"
150,BAHANG BAY HOTEL,"NO. 15, JALAN TELUK BAHANG, 11050 TTELUK BAHANG, Pulau Pinang"
151,BATU-BATU ISLAND RESORT,"PULAU TENGAH, 86800 MERSING, Johor"
152,BAYOU LAGOON PARK RESORT,"AMARI VILLA, JALAN WAKAF UTAMA BUKIT KATIL, 75450 AYER KEROH, Melaka"
153,BAYVIEW BEACH RESORT PENANG,"PANTAI BATU FERRINGHI, 11100 BATU FERRINGHI, Pulau Pinang"
154,BAYVIEW HOTEL MELAKA,"Jalan Bendahara, 75100, Melaka"
155,BERJAYA PENANG HOTEL,"1-STOP MIDLANDS, JALAN BURMAH, 10350 GEORGETOWN, Pulau Pinang"
156,BERJAYA TIOMAN RESORT,"KAMPUNG TEKEK, PULAU TIOMAN, 26800 KUALA ROMPIN, Pahang"
157,BORNEO BEACH AND MANGROVE RESORT,"JALAN INDAI MIMPIAN JADI, KG. PULAU SIMPANGAN, KUALA MATINGGI, Sabah"
158,BORNEO DIVERS MABUL RESORT,"CL 125332029, PULAU MABUL, 91308 SEMPORNA, Sabah"
159,BOUSTEAD HOTELS & RESORTS (ROYALE CHULAN SEREMBAN),"JALAN DATO' A.S DAWOOD, 70100 SEREMBAN, Negeri Sembilan"
160,CAMAR RESORT LANGKAWI,"60183, JALAN PANTAI TENGAH, 07000 LANGKAWI, Kedah"
161,CAPRI BY FRASER,"MENARA TIGA SERANGKAI, JALAN TENGKU AZIZAH, 80300 JOHOR BAHRU, Johor"
162,CITADINES CONNECT GEORGETOWN PENANG,"202, LEBUH NOORDIN, 10300 GEORGETOWN, Pulau Pinang"
163,CITADINES PRAI PENANG,"G01, MENARA SENTRAL JALAN JURU SENTRAL, 14000 BUKIT MERTAJAM, Pulau Pinang"
